"Marker Name","Description","In","Out","Duration","Marker Type","Marker Color"
,,"2.86666666666667","2.86666666666667","0","Comment","Green"
,,"6.1","6.1","0","Comment","Green"
,,"9.06666666666667","9.06666666666667","0","Comment","Green"
,,"12.8333333333333","12.8333333333333","0","Comment","Green"
,,"16.2333333333333","16.2333333333333","0","Comment","Green"
,,"19.8333333333333","19.8333333333333","0","Comment","Green"
,,"23.6333333333333","23.6333333333333","0","Comment","Green"
,,"26.8333333333333","26.8333333333333","0","Comment","Green"
,,"29.8333333333333","29.8333333333333","0","Comment","Green"
,,"33.7","33.7","0","Comment","Green"
,,"36.9333333333333","36.9333333333333","0","Comment","Green"
,,"39.8","39.8","0","Comment","Green"
,,"43.0666666666667","43.0666666666667","0","Comment","Green"
,,"46.1","46.1","0","Comment","Green"
,,"49.4333333333333","49.4333333333333","0","Comment","Green"
,,"53.4333333333333","53.4333333333333","0","Comment","Green"
,,"56.7333333333333","56.7333333333333","0","Comment","Green"
,,"59.8","59.8","0","Comment","Green"
,,"63","63","0","Comment","Green"
,,"65.7333333333333","65.7333333333333","0","Comment","Green"
,,"69.0666666666667","69.0666666666667","0","Comment","Green"
,,"72.1","72.1","0","Comment","Green"
,,"75.4666666666667","75.4666666666667","0","Comment","Green"
,,"78.9333333333333","78.9333333333333","0","Comment","Green"
,,"82.9","82.9","0","Comment","Green"
,,"86.0333333333333","86.0333333333333","0","Comment","Green"
,,"88.9","88.9","0","Comment","Green"
,,"92.1","92.1","0","Comment","Green"
,,"94.8666666666667","94.8666666666667","0","Comment","Green"
,,"97.9","97.9","0","Comment","Green"
,,"100.966666666667","100.966666666667","0","Comment","Green"
,,"103.9","103.9","0","Comment","Green"
,,"106.6","106.6","0","Comment","Green"
,,"109.8","109.8","0","Comment","Green"
,,"112.866666666667","112.866666666667","0","Comment","Green"
,,"116.866666666667","116.866666666667","0","Comment","Green"
,,"120.1","120.1","0","Comment","Green"
,,"123.033333333333","123.033333333333","0","Comment","Green"
,,"126.333333333333","126.333333333333","0","Comment","Green"
,,"128.8","128.8","0","Comment","Green"
,,"133.9","133.9","0","Comment","Green"
,,"137.3","137.3","0","Comment","Green"
,,"140.666666666667","140.666666666667","0","Comment","Green"
,,"143.566666666667","143.566666666667","0","Comment","Green"
,,"146.8","146.8","0","Comment","Green"
,,"149.733333333333","149.733333333333","0","Comment","Green"
,,"152.9","152.9","0","Comment","Green"
,,"156.733333333333","156.733333333333","0","Comment","Green"
,,"159.766666666667","159.766666666667","0","Comment","Green"
,,"162.933333333333","162.933333333333","0","Comment","Green"
,,"166.3","166.3","0","Comment","Green"
,,"169.766666666667","169.766666666667","0","Comment","Green"
,,"172.9","172.9","0","Comment","Green"
,,"177.666666666667","177.666666666667","0","Comment","Green"
,,"184.333333333333","184.333333333333","0","Comment","Green"
